No.,NT,THT,THQCr,CT,QmT,TT,TCr,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,Fatigue
277,870,845,8,30,30,650,24,0.4,0.25,1.47,0.027,0.016,0.02,0.04,0.01,0,2
148,870,855,8,30,30,550,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,3
408,930,30,0,930,140,160,0.5,0.2,0.32,0.77,0.024,0.028,0.46,0.47,0.2,0.19,4
414,930,30,0,930,60,160,0.5,0.21,0.3,0.76,0.021,0.006,0.08,1.09,0.14,0.03,4
384,845,845,8,30,30,430,24,0.53,1.49,0.69,0.011,0.007,0.02,0.74,0.01,0,4
313,870,845,8,30,30,580,24,0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,3
109,825,825,24,30,30,650,24,0.53,0.3,0.83,0.019,0.026,0.02,0.12,0.01,0,2
214,870,855,8,30,30,650,24,0.41,0.24,0.8,0.015,0.024,0.03,1.02,0.1,0.18,3
390,930,30,0,930,60,160,0.5,0.21,0.29,0.62,0.015,0.016,1.62,0.59,0.07,0.21,4
119,870,855,8,30,30,550,24,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,3
32,865,865,24,30,30,600,24,0.37,0.27,0.78,0.016,0.02,0.01,0.11,0.02,0,1
189,870,855,8,30,30,550,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,4
299,900,845,8,30,30,600,24,0.34,0.26,0.65,0.01,0.009,2.63,0.84,0.05,0,3
431,930,30,0,930,60,160,0.5,0.18,0.25,0.79,0.016,0.015,0.07,1.08,0.08,0.15,4
380,845,845,8,30,30,420,24,0.62,0.29,0.88,0.026,0.007,0.05,0.75,0.12,0.03,4
219,870,855,8,30,30,650,24,0.42,0.28,0.75,0.015,0.008,0.07,1.04,0.12,0.17,3
136,870,855,8,30,30,650,24,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,2
159,870,855,8,30,30,600,24,0.35,0.25,0.8,0.02,0.017,0.08,0.99,0.18,0.19,3
315,870,845,8,30,30,580,24,0.4,0.25,0.7,0.021,0.02,1.63,0.71,0.08,0.17,3
339,870,845,8,30,30,630,24,0.43,0.26,0.68,0.012,0.018,1.62,0.68,0.09,0.17,3
156,870,855,8,30,30,600,24,0.34,0.25,0.72,0.019,0.011,0.12,1.01,0.1,0.17,2
130,870,855,8,30,30,650,24,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,2
192,870,855,8,30,30,550,24,0.4,0.22,0.7,0.01,0.004,0.04,0.94,0.12,0.17,4
171,870,855,8,30,30,650,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,2
176,870,855,8,30,30,650,24,0.35,0.25,0.7,0.026,0.018,0.01,1,0.02,0.16,3
429,930,30,0,930,60,160,0.5,0.21,0.31,0.81,0.012,0.019,0.06,1.17,0.07,0.17,4
258,870,845,8,30,30,600,24,0.42,0.23,1.5,0.01,0.009,0.04,0.15,0.05,0,2
229,870,845,8,30,30,550,24,0.41,0.24,1.51,0.02,0.008,0.04,0.22,0.08,0,2
73,845,845,24,30,30,650,24,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.02,0,1
317,870,845,8,30,30,580,24,0.4,0.33,0.73,0.011,0.012,1.71,0.74,0.08,0.2,3
23,865,865,24,30,30,550,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,1
143,870,855,8,30,30,550,24,0.36,0.35,0.74,0.016,0.02,0.05,0.97,0.12,0.15,3
405,930,30,0,930,60,160,0.5,0.2,0.32,0.77,0.024,0.028,0.46,0.47,0.2,0.19,4
112,825,825,24,30,30,650,24,0.52,0.21,0.8,0.021,0.021,0.02,0.1,0.02,0,2
19,865,865,24,30,30,550,24,0.32,0.26,0.73,0.015,0.019,0.02,0.02,0.03,0,2
263,870,845,8,30,30,600,24,0.45,0.33,1.58,0.008,0.007,0.06,0.1,0.08,0,2
188,870,855,8,30,30,550,24,0.42,0.29,0.77,0.015,0.017,0.12,1.1,0.09,0.15,3
28,865,865,24,30,30,600,24,0.33,0.21,0.75,0.031,0.019,0.01,0.03,0.02,0,1
311,900,845,8,30,30,650,24,0.32,0.3,0.52,0.013,0.009,2.67,0.77,0.06,0,2
341,870,845,8,30,30,680,24,0.4,0.23,0.7,0.011,0.01,1.82,0.78,0.09,0.18,2
278,870,845,8,30,30,650,24,0.41,0.22,1.48,0.01,0.007,0.03,0.08,0.06,0,1
47,865,865,24,30,30,650,24,0.32,0.21,0.63,0.007,0.017,0.06,0.1,0.08,0,1
74,845,845,24,30,30,650,24,0.42,0.22,0.78,0.022,0.02,0.01,0.02,0.03,0,1
342,870,845,8,30,30,680,24,0.4,0.29,0.79,0.022,0.009,1.92,0.96,0.05,0.24,2
